Onnett_id;Osall_id;Osnro;Oslaji;Oslajisel;Peräv;Perävsel;Ajolaji;Ajolajisel;Ajoneuvika;Ajoneuvmas
6686085;11605353;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;7;1585
6620269;11605355;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
6585521;11605360;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;0;1760
6585522;11605361;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1199
6585522;11605362;2;32;kuorma-auto;2;varsinainen perävaunu;1;ammattimaisessa ajossa;8;7190
6695559;11605367;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;12;1280
6695559;11605368;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
6516460;11605369;1;32;kuorma-auto;-1;Ei arvoa;-1;Ei arvoa;12;9400
6516460;11605370;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;2;1441
6517105;11605375;1;32;kuorma-auto;-1;Ei arvoa;-1;Ei arvoa;5;9500
6517105;11605376;2;32;kuorma-auto;-1;Ei arvoa;-1;Ei arvoa;4;2970
6517105;11605377;3;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;7;1880
6517105;11605378;4;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;7;1405
6783841;11605379;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;13;1016
6783841;11605380;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1097
6660585;11605381;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;17;1100
6660585;11605382;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;17;1180
6718314;11605388;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;6;1578
6718314;11605389;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;5;1298
6742304;11605390;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1161
6742305;11605397;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;7;1585
6742305;11605609;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;5;905
6742305;11605610;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1526
6748028;11605611;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;6;1400
