,id,year,month,day_of_week,x,y,vehicle_mass,region,road_type,Seriousness
1250,9956316,2021,1,Perjantai,305891.0,6750165.0,1449.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1251,9956316,2021,1,Perjantai,305891.0,6750165.0,3660.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1252,9956317,2021,1,Perjantai,428635.0,6754954.0,1930.0,Uudenmaan ELY,Ei arvoa,Loukkaantumiseen johtanut
1253,9956317,2021,1,Perjantai,428635.0,6754954.0,935.0,Uudenmaan ELY,Ei arvoa,Loukkaantumiseen johtanut
1254,9956318,2021,1,Maanantai,378914.0,6736266.0,1165.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1255,9956318,2021,1,Maanantai,378914.0,6736266.0,1320.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1256,9956319,2021,1,Tiistai,427475.0,6761240.0,9450.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1257,9956319,2021,1,Tiistai,427475.0,6761240.0,2440.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1258,9956321,2021,1,Maanantai,427057.0,6758813.0,1811.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1259,9956321,2021,1,Maanantai,427057.0,6758813.0,1580.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1260,9956323,2021,1,Maanantai,360142.0,6763720.0,12850.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1261,9956323,2021,1,Maanantai,360142.0,6763720.0,1680.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1262,9956324,2021,1,Tiistai,376970.0,6736572.0,1148.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1263,9956325,2021,1,Tiistai,433598.0,6763657.0,375.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1264,9956327,2021,1,Torstai,421818.0,6782471.0,1290.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1265,9956327,2021,1,Torstai,421818.0,6782471.0,16370.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1266,9956328,2021,1,Torstai,377310.0,6733868.0,,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1267,9956329,2021,1,Perjantai,431899.0,6762365.0,1280.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1268,9956329,2021,1,Perjantai,431899.0,6762365.0,1157.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1269,9956331,2021,1,Maanantai,427760.0,6761554.0,400.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1270,9956333,2021,1,Perjantai,424166.0,6761150.0,1450.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1271,9956333,2021,1,Perjantai,424166.0,6761150.0,1235.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1272,9956335,2021,1,Lauantai,427743.0,6762826.0,1355.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1273,9956335,2021,1,Lauantai,427743.0,6762826.0,1810.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1274,9956336,2021,1,Lauantai,428564.0,6764195.0,935.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1275,9956336,2021,1,Lauantai,428564.0,6764195.0,1607.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1276,9956336,2021,1,Lauantai,428564.0,6764195.0,1811.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1277,9956336,2021,1,Lauantai,428564.0,6764195.0,1595.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1278,9956337,2021,1,Lauantai,427816.0,6763090.0,870.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1279,9956337,2021,1,Lauantai,427816.0,6763090.0,1215.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1280,9956338,2021,1,Sunnuntai,431440.0,6742532.0,1396.0,Uudenmaan ELY,Ei arvoa,Loukkaantumiseen johtanut
1281,9956339,2021,1,Sunnuntai,342235.0,6743478.0,,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1282,9956339,2021,1,Sunnuntai,342235.0,6743478.0,1475.0,Uudenmaan ELY,Ei arvoa,Ei henkilövahinkoja
1283,9956341,2021,1,Tiistai,488922.0,6736506.0,,Kaakkois-Suomen ELY,Ei arvoa,Loukkaantumiseen johtanut
1284,9956341,2021,1,Tiistai,488922.0,6736506.0,1265.0,Kaakkois-Suomen ELY,Ei arvoa,Loukkaantumiseen johtanut
1285,9956342,2021,1,Perjantai,493565.0,6733215.0,370.0,Kaakkois-Suomen ELY,Ei arvoa,Loukkaantumiseen johtanut
1286,9956343,2021,1,Lauantai,565119.0,6768458.0,1445.0,Kaakkois-Suomen ELY,Ei arvoa,Ei henkilövahinkoja
1287,9956343,2021,1,Lauantai,565119.0,6768458.0,1425.0,Kaakkois-Suomen ELY,Ei arvoa,Ei henkilövahinkoja
1288,9956344,2021,1,Lauantai,478438.0,6751917.0,1590.0,Kaakkois-Suomen ELY,Ei arvoa,Ei henkilövahinkoja
1289,9956345,2021,1,Maanantai,488392.0,6749316.0,,Kaakkois-Suomen ELY,Ei arvoa,Ei henkilövahinkoja
1290,9956345,2021,1,Maanantai,488392.0,6749316.0,11690.0,Kaakkois-Suomen ELY,Ei arvoa,Ei henkilövahinkoja
1291,9956346,2021,1,Keskiviikko,495432.0,6706120.0,13015.0,Kaakkois-Suomen ELY,Ei arvoa,Ei henkilövahinkoja
1292,9956348,2021,1,Torstai,489670.0,6750076.0,1300.0,Kaakkois-Suomen ELY,Ei arvoa,Ei henkilövahinkoja
1293,9956349,2021,1,Perjantai,543702.0,6751870.0,1192.0,Kaakkois-Suomen ELY,Ei arvoa,Ei henkilövahinkoja
1294,9956349,2021,1,Perjantai,543702.0,6751870.0,1905.0,Kaakkois-Suomen ELY,Ei arvoa,Ei henkilövahinkoja
1295,9956350,2021,1,Perjantai,478573.0,6754285.0,1370.0,Kaakkois-Suomen ELY,Ei arvoa,Ei henkilövahinkoja
1296,9956350,2021,1,Perjantai,478573.0,6754285.0,8440.0,Kaakkois-Suomen ELY,Ei arvoa,Ei henkilövahinkoja
1297,9956351,2021,1,Perjantai,485626.0,6749075.0,1280.0,Kaakkois-Suomen ELY,Ei arvoa,Loukkaantumiseen johtanut
1298,9956351,2021,1,Perjantai,485626.0,6749075.0,1452.0,Kaakkois-Suomen ELY,Ei arvoa,Loukkaantumiseen johtanut
1299,9956352,2021,1,Lauantai,531630.0,6714330.0,1490.0,Kaakkois-Suomen ELY,Ei arvoa,Ei henkilövahinkoja
1300,9956353,2021,1,Sunnuntai,491904.0,6707123.0,1378.0,Kaakkois-Suomen ELY,Ei arvoa,Ei henkilövahinkoja
1301,9956353,2021,1,Sunnuntai,491904.0,6707123.0,1360.0,Kaakkois-Suomen ELY,Ei arvoa,Ei henkilövahinkoja
1302,9956354,2021,1,Tiistai,484135.0,6748405.0,1172.0,Kaakkois-Suomen ELY,Ei arvoa,Ei henkilövahinkoja
1303,9956354,2021,1,Tiistai,484135.0,6748405.0,1670.0,Kaakkois-Suomen ELY,Ei arvoa,Ei henkilövahinkoja
1304,9956354,2021,1,Tiistai,484135.0,6748405.0,1634.0,Kaakkois-Suomen ELY,Ei arvoa,Ei henkilövahinkoja
1305,9956355,2021,1,Tiistai,496095.0,6703008.0,1733.0,Kaakkois-Suomen ELY,Ei arvoa,Ei henkilövahinkoja
1306,9956355,2021,1,Tiistai,496095.0,6703008.0,1410.0,Kaakkois-Suomen ELY,Ei arvoa,Ei henkilövahinkoja
1307,9956356,2021,1,Torstai,511226.0,6715031.0,99.0,Kaakkois-Suomen ELY,Ei arvoa,Loukkaantumiseen johtanut
1308,9956356,2021,1,Torstai,511226.0,6715031.0,,Kaakkois-Suomen ELY,Ei arvoa,Loukkaantumiseen johtanut
1309,9956357,2021,1,Torstai,484498.0,6748403.0,1506.0,Kaakkois-Suomen ELY,Ei arvoa,Ei henkilövahinkoja
1310,9956357,2021,1,Torstai,484498.0,6748403.0,1320.0,Kaakkois-Suomen ELY,Ei arvoa,Ei henkilövahinkoja
1311,9956358,2021,1,Perjantai,482884.0,6748531.0,1910.0,Kaakkois-Suomen ELY,Ei arvoa,Ei henkilövahinkoja
1312,9956360,2021,1,Sunnuntai,492679.0,6704888.0,,Kaakkois-Suomen ELY,Ei arvoa,Loukkaantumiseen johtanut
1313,9956360,2021,1,Sunnuntai,492679.0,6704888.0,1388.0,Kaakkois-Suomen ELY,Ei arvoa,Loukkaantumiseen johtanut
1314,9956361,2021,1,Maanantai,479133.0,6753501.0,1437.0,Kaakkois-Suomen ELY,Ei arvoa,Loukkaantumiseen johtanut
1315,9956361,2021,1,Maanantai,479133.0,6753501.0,980.0,Kaakkois-Suomen ELY,Ei arvoa,Loukkaantumiseen johtanut
1316,9956362,2021,1,Torstai,483379.0,6748131.0,921.0,Kaakkois-Suomen ELY,Ei arvoa,Loukkaantumiseen johtanut
1317,9956362,2021,1,Torstai,483379.0,6748131.0,2271.0,Kaakkois-Suomen ELY,Ei arvoa,Loukkaantumiseen johtanut
1318,9956363,2021,1,Lauantai,496278.0,6708855.0,1335.0,Kaakkois-Suomen ELY,Ei arvoa,Loukkaantumiseen johtanut
1319,9956363,2021,1,Lauantai,496278.0,6708855.0,,Kaakkois-Suomen ELY,Ei arvoa,Loukkaantumiseen johtanut
1320,9956364,2021,1,Lauantai,548183.0,6791752.0,1350.0,Kaakkois-Suomen ELY,Ei arvoa,Ei henkilövahinkoja
1321,9956364,2021,1,Lauantai,548183.0,6791752.0,,Kaakkois-Suomen ELY,Ei arvoa,Ei henkilövahinkoja
1322,9956365,2021,1,Tiistai,546962.0,6764859.0,,Kaakkois-Suomen ELY,Ei arvoa,Ei henkilövahinkoja
