id,year,month,day_of_week,lon,lat,vehicle_mass,Seriousness,snowfall_1,snowfall_2,snowfall_3,snowfall_4,snowfall_5
8120022,2017,1,tiistai,25.7781,62.2672,1265.0,Ei henkilövahinkoja,0.0700000002980232,0.4199999868869781,0.3499999940395355,0.1400000005960464,
8120023,2017,1,torstai,25.0502,60.3472,,Ei henkilövahinkoja,0.0,6.090000629425049,0.6299999952316284,0.0,
8120023,2017,1,torstai,25.0502,60.3472,1920.0,Ei henkilövahinkoja,0.0,6.090000629425049,0.6299999952316284,0.0,
8120023,2017,1,torstai,25.0502,60.3472,1387.0,Ei henkilövahinkoja,0.0,6.090000629425049,0.6299999952316284,0.0,
8120023,2017,1,torstai,25.0502,60.3472,1316.0,Ei henkilövahinkoja,0.0,6.090000629425049,0.6299999952316284,0.0,
8120024,2017,1,tiistai,28.9121,64.887,1664.0,Ei henkilövahinkoja,0.0,0.5600000023841858,0.3499999940395355,0.4899999797344208,
8120024,2017,1,tiistai,28.9121,64.887,1580.0,Ei henkilövahinkoja,0.0,0.5600000023841858,0.3499999940395355,0.4899999797344208,
8120025,2017,1,keskiviikko,23.0577,60.707,1665.0,Ei henkilövahinkoja,0.0,3.080000162124634,0.0,0.0,
8120025,2017,1,keskiviikko,23.0577,60.707,12960.0,Ei henkilövahinkoja,0.0,3.080000162124634,0.0,0.0,
8120026,2017,1,keskiviikko,22.279,60.442,1339.0,Ei henkilövahinkoja,0.0,3.290000438690185,0.0,0.0,
8120026,2017,1,keskiviikko,22.279,60.442,1420.0,Ei henkilövahinkoja,0.0,3.290000438690185,0.0,0.0,
8120027,2017,1,sunnuntai,25.7108,62.2053,995.0,Ei henkilövahinkoja,0.2100000083446502,0.0,0.0700000002980232,0.0,0.4200000166893005
8120029,2017,1,lauantai,23.9586,64.2304,,Ei henkilövahinkoja,0.4200000166893005,0.4200000166893005,0.9099999666213988,0.0,
8120029,2017,1,lauantai,23.9586,64.2304,1305.0,Ei henkilövahinkoja,0.4200000166893005,0.4200000166893005,0.9099999666213988,0.0,
8120030,2017,1,keskiviikko,25.5776,63.3634,1505.0,Loukkaantumiseen johtanut,0.0,0.0700000002980232,0.1400000005960464,0.0,
8120031,2017,1,torstai,24.4565,60.9936,350.0,Ei henkilövahinkoja,0.0,1.960000276565552,0.2800000011920929,0.0,
8120031,2017,1,torstai,24.4565,60.9936,1476.0,Ei henkilövahinkoja,0.0,1.960000276565552,0.2800000011920929,0.0,
8120032,2017,1,tiistai,22.3023,60.4572,950.0,Ei henkilövahinkoja,0.0,0.5600000023841858,0.5600000023841858,0.0,
